flight_number,scheduled_departure_date_local,company_id,scheduled_departure_station_code,scheduled_arrival_station_code,num_passengers,num_child,num_stroller_user,lap_child_count,num_special_req,total_num_bags,num_checked_bag,num_transfer_bag,num_hot_transfer_bags,scheduled_departure_datetime_local,scheduled_arrival_datetime_local,actual_departure_datetime_local,actual_arrival_datetime_local,total_seats,fleet_type,carrier,scheduled_ground_time_minutes,actual_ground_time_minutes,minimum_turn_minutes,departure_country_code,arrival_country_code,delayed_departure_minutes,delayed_arrival_minutes,turnaround_buffer,turnaround_overrun,Is_International,Transfer_Bag_Ratio,Child_Bags_Index,Special_Req_Ratio,Work_Per_Minute,Pax_Per_Minute,Buffer_Ratio,Workload_Index,departure_hour,Time_of_Day,difficulty_operational
3,2025-08-01,UA,ORD,ZRH,100,11,0,0,2,166.0,70.0,90.0,6.0,2025-08-01 15:55:00+00:00,2025-08-02 07:45:00+00:00,2025-08-01 15:43:00+00:00,2025-08-02 06:58:00+00:00,167.0,B767-300,Mainline,185.0,184.0,145.0,US,CH,-12.0,-47.0,40.0,-1.0,1,0.5421686746987951,0,0.02,0.8972972972972973,0.5405405405405406,0.21621621621621623,1.4378378378378378,15,Afternoon (11:00 - 16:59),Low
3,2025-08-02,UA,ORD,ZRH,97,8,1,0,2,197.0,80.0,107.0,10.0,2025-08-02 15:55:00+00:00,2025-08-03 07:45:00+00:00,2025-08-02 15:59:00+00:00,2025-08-03 07:08:00+00:00,167.0,B767-300,Mainline,185.0,204.0,145.0,US,CH,4.0,-37.0,40.0,19.0,1,0.5431472081218274,0,0.020618556701030927,1.0648648648648649,0.5243243243243243,0.21621621621621623,1.5891891891891892,15,Afternoon (11:00 - 16:59),Medium
3,2025-08-03,UA,ORD,ZRH,115,11,3,1,3,170.0,82.0,81.0,7.0,2025-08-03 15:55:00+00:00,2025-08-04 07:45:00+00:00,2025-08-03 16:01:00+00:00,2025-08-04 07:26:00+00:00,167.0,B767-300,Mainline,270.0,275.0,145.0,US,CH,6.0,-19.0,125.0,5.0,1,0.4764705882352941,33,0.02608695652173913,0.6296296296296297,0.42592592592592593,0.46296296296296297,1.0555555555555556,15,Afternoon (11:00 - 16:59),Medium
3,2025-08-04,UA,ORD,ZRH,101,11,3,1,3,147.0,58.0,81.0,8.0,2025-08-04 15:55:00+00:00,2025-08-05 07:45:00+00:00,2025-08-04 16:04:00+00:00,2025-08-05 07:33:00+00:00,167.0,B767-300,Mainline,270.0,263.0,145.0,US,CH,9.0,-12.0,125.0,-7.0,1,0.5510204081632653,33,0.0297029702970297,0.5444444444444444,0.37407407407407406,0.46296296296296297,0.9185185185185185,15,Afternoon (11:00 - 16:59),Medium
3,2025-08-05,UA,ORD,ZRH,108,10,2,1,5,175.0,74.0,88.0,13.0,2025-08-05 15:55:00+00:00,2025-08-06 07:45:00+00:00,2025-08-05 16:06:00+00:00,2025-08-06 07:35:00+00:00,167.0,B767-300,Mainline,1545.0,1506.0,145.0,US,CH,11.0,-10.0,1400.0,-39.0,1,0.5028571428571429,20,0.046296296296296294,0.11326860841423948,0.06990291262135923,0.9061488673139159,0.1831715210355987,15,Afternoon (11:00 - 16:59),Medium
3,2025-08-06,UA,ORD,ZRH,99,11,2,0,4,137.0,54.0,76.0,7.0,2025-08-06 15:55:00+00:00,2025-08-07 07:45:00+00:00,2025-08-06 16:20:00+00:00,2025-08-07 07:47:00+00:00,167.0,B767-300,Mainline,105.0,150.0,145.0,US,CH,25.0,2.0,-40.0,45.0,1,0.5547445255474452,0,0.04040404040404041,1.3047619047619048,0.9428571428571428,-0.38095238095238093,2.2476190476190476,15,Afternoon (11:00 - 16:59),HIGH
3,2025-08-07,UA,ORD,ZRH,109,7,0,0,2,182.0,89.0,83.0,10.0,2025-08-07 15:55:00+00:00,2025-08-08 07:45:00+00:00,2025-08-07 17:26:00+00:00,2025-08-08 09:06:00+00:00,167.0,B767-300,Mainline,105.0,156.0,145.0,US,CH,91.0,81.0,-40.0,51.0,1,0.45604395604395603,0,0.01834862385321101,1.7333333333333334,1.0380952380952382,-0.38095238095238093,2.7714285714285714,15,Afternoon (11:00 - 16:59),HIGH
3,2025-08-08,UA,ORD,ZRH,105,11,5,1,4,181.0,102.0,71.0,8.0,2025-08-08 15:55:00+00:00,2025-08-09 07:45:00+00:00,2025-08-08 15:57:00+00:00,2025-08-09 07:41:00+00:00,167.0,B767-300,Mainline,270.0,285.0,145.0,US,CH,2.0,-4.0,125.0,15.0,1,0.39226519337016574,55,0.0380952380952381,0.6703703703703704,0.3888888888888889,0.46296296296296297,1.0592592592592593,15,Afternoon (11:00 - 16:59),Medium
3,2025-08-09,UA,ORD,ZRH,104,7,2,1,2,172.0,71.0,95.0,6.0,2025-08-09 15:55:00+00:00,2025-08-10 07:45:00+00:00,2025-08-09 16:19:00+00:00,2025-08-10 08:22:00+00:00,167.0,B767-300,Mainline,270.0,312.0,145.0,US,CH,24.0,37.0,125.0,42.0,1,0.5523255813953488,14,0.019230769230769232,0.6370370370370371,0.3851851851851852,0.46296296296296297,1.0222222222222221,15,Afternoon (11:00 - 16:59),HIGH
3,2025-08-10,UA,ORD,ZRH,92,4,1,0,1,153.0,69.0,81.0,3.0,2025-08-10 15:55:00+00:00,2025-08-11 07:45:00+00:00,2025-08-10 16:07:00+00:00,2025-08-11 07:39:00+00:00,167.0,B767-300,Mainline,270.0,317.0,145.0,US,CH,12.0,-6.0,125.0,47.0,1,0.5294117647058824,0,0.010869565217391304,0.5666666666666667,0.34074074074074073,0.46296296296296297,0.9074074074074074,15,Afternoon (11:00 - 16:59),Medium
